elevator,reason,out_of_service,first_missed,estimated_return,difference (min),duration (min)
EL423,Access Improvements,Sat Mar 17 2018 07:30:00 GMT-0400 (EDT),Sat Mar 17 2018 09:06:06 GMT-0400 (EDT),Sat Mar 17 2018 11:00:00 GMT-0400 (EDT),-113.88953333333333,96.11046666666667
EL330,Maintenance,Sat Mar 17 2018 07:21:00 GMT-0400 (EDT),Sat Mar 17 2018 09:58:07 GMT-0400 (EDT),Sat Mar 17 2018 11:00:00 GMT-0400 (EDT),-61.8691,157.1309
EL422,Maintenance,Sat Mar 17 2018 06:30:00 GMT-0400 (EDT),Sat Mar 17 2018 07:30:07 GMT-0400 (EDT),Sat Mar 17 2018 11:00:00 GMT-0400 (EDT),-209.87778333333333,60.12221666666667
EL337,Inspection,Sat Mar 17 2018 05:10:00 GMT-0400 (EDT),Sat Mar 17 2018 09:41:08 GMT-0400 (EDT),Sat Mar 17 2018 11:00:00 GMT-0400 (EDT),-78.86175,271.13825
EL421,Access Improvements,Sat Mar 17 2018 05:35:00 GMT-0400 (EDT),Sat Mar 17 2018 06:29:08 GMT-0400 (EDT),Sat Mar 17 2018 11:00:00 GMT-0400 (EDT),-270.86178333333334,54.13821666666667
EL237,Maintenance,Sat Mar 17 2018 04:33:00 GMT-0400 (EDT),Sat Mar 17 2018 05:31:08 GMT-0400 (EDT),Sat Mar 17 2018 11:00:00 GMT-0400 (EDT),-328.8647333333333,58.135266666666666
EL420,Access Improvements,Sat Mar 17 2018 04:10:00 GMT-0400 (EDT),Sat Mar 17 2018 05:51:08 GMT-0400 (EDT),Sat Mar 17 2018 11:00:00 GMT-0400 (EDT),-308.8662333333333,101.13376666666666
EL226,Maintenance,Sat Mar 17 2018 03:50:00 GMT-0400 (EDT),Sat Mar 17 2018 10:16:07 GMT-0400 (EDT),Sat Mar 17 2018 11:00:00 GMT-0400 (EDT),-43.88155,386.11845
EL104,Under Investigation,Sat Mar 17 2018 03:35:00 GMT-0400 (EDT),Sat Mar 17 2018 06:02:07 GMT-0400 (EDT),Sat Mar 17 2018 12:00:00 GMT-0400 (EDT),-357.8722833333333,147.1277166666667
EL277,Under Investigation,Sat Mar 17 2018 05:14:00 GMT-0400 (EDT),Sat Mar 17 2018 07:13:08 GMT-0400 (EDT),Sat Mar 17 2018 14:00:00 GMT-0400 (EDT),-406.8511,119.1489
EL324,Repair,Thu Mar 15 2018 16:35:00 GMT-0400 (EDT),Fri Mar 16 2018 20:14:07 GMT-0400 (EDT),Sat Mar 17 2018 17:00:00 GMT-0400 (EDT),-1245.8774999999998,1659.1225000000002
EL498,Repair,Sat Mar 17 2018 14:50:00 GMT-0400 (EDT),Sat Mar 17 2018 19:33:08 GMT-0400 (EDT),Sat Mar 17 2018 20:00:00 GMT-0400 (EDT),-26.855833333333333,283.1441666666667
EL184,Repair,Sat Mar 17 2018 12:40:00 GMT-0400 (EDT),Sat Mar 17 2018 16:19:08 GMT-0400 (EDT),Sat Mar 17 2018 20:00:00 GMT-0400 (EDT),-220.86351666666667,219.13648333333333
